# ID  name  B  Berr  V  Verr  R  Rerr  I  Ierr  psfMag_u  psfMagErr_u  psfMag_g  psfMagErr_g  psfMag_r  psfMagErr_r  psfMag_i  psfMagErr_i  psfMag_z  psfMagErr_z  good_u  good_g  good_r  good_i  good_z
1-752-40-3-610-275  L107-S147  19.652  0  18.581  0  0  0  17.278  0  21.351  0.096  19.143  0.015  18.138  0.015  17.784  0.013  17.54  0.024  1  1  1  1  1
1-752-40-3-610-287  L107-S341  0  0  18.91  0  17.74  0  16.163  0  22.519  0.249  19.804  0.018  18.253  0.016  16.874  0.012  16.12  0.02  1  1  1  1  1
1-752-40-3-610-292  L107-S153  19.445  0  18.487  0  17.882  0  17.328  0  20.795  0.062  18.956  0.015  18.145  0.015  17.79  0.013  17.611  0.024  1  1  1  1  1
1-752-40-3-610-297  L107-S342  0  0  19.824  0  0  0  17.866  0  22.975  0.364  20.694  0.028  19.188  0.018  18.435  0.014  17.99  0.027  1  1  1  1  1
1-752-40-3-610-308  L107-S161  19.191  0  18.203  0  0  0  16.97  0  20.705  0.055  18.71  0.014  17.815  0.015  17.451  0.012  17.225  0.022  0  1  1  1  1
1-752-40-3-610-311  L107-S162  19.315  0  18.288  0  17.613  0  17.028  0  20.972  0.071  18.842  0.015  17.877  0.015  17.565  0.014  17.295  0.023  1  1  1  0  1
1-752-40-3-610-313  L107-S166  19.541  0  18.594  0  0  0  17.465  0  20.918  0.068  19.079  0.015  18.237  0.016  17.939  0.013  17.766  0.025  1  1  1  1  1
1-752-40-3-610-314  L107-S343  0  0  18.882  0  0  0  17.302  0  21.927  0.152  19.589  0.017  18.358  0.016  17.821  0.013  17.482  0.023  1  1  1  1  1
1-752-40-3-610-326  L107-S176  19.564  0  18.702  0  18.123  0  17.586  0  20.919  0.068  19.13  0.015  18.369  0.016  18.046  0.013  17.783  0.025  1  1  1  1  1
1-752-40-3-610-329  L107-S180  19.549  0  18.049  0  17.11  0  16.195  0  21.456  0.103  18.925  0.015  17.455  0.015  16.768  0.012  16.358  0.02  1  1  1  1  1
1-752-40-3-610-343  L107-S186  19.307  0  17.97  0  17.137  0  16.407  0  21.63  0.119  18.737  0.014  17.417  0.015  16.911  0.012  16.631  0.021  1  1  1  1  1
1-752-40-3-610-348  L107-S192  19.365  0  17.851  0  16.804  0  15.712  0  21.132  0.08  18.636  0.014  17.151  0.015  16.281  0.012  15.759  0.02  1  1  1  1  1
1-752-40-3-610-360  L107-S199  0  0  18.383  0  17.545  0  16.82  0  21.606  0.117  19.083  0.015  17.85  0.015  17.34  0.012  17.037  0.022  1  1  1  1  1
1-752-40-3-610-366  L107-S204  18.474  0  17.171  0  16.348  0  15.644  0  20.491  0.051  17.885  0.013  16.631  0.015  16.142  0.012  15.859  0.02  1  1  1  1  1
1-752-40-3-610-376  L107-S211  19.24  0  18.549  0  0  0  17.667  0  20.153  0.041  18.815  0.015  18.303  0.016  18.118  0.013  18.013  0.027  1  1  1  1  1
1-752-40-3-610-390  L107-S218  18.837  0  17.267  0  16.256  0  15.239  0  20.878  0.068  18.126  0.014  16.627  0.015  15.829  0.012  15.364  0.02  1  1  1  1  1
